inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,tracking_resp.keys,tracking_resp.rt
space,2.2972,0.112037023,-0.298148191,1,0,0,-0.659259249,-0.228703746,1,0,0,calibration_square,0,0,0,26,1,-0.66,-0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.677777767,0.219444434,1,0,0,,0,1,1,28,1,-0.66,0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0,-0.226851852,1,0,0,calibration_square,0,2,2,11,1,0,-0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.001851894,0.43425926,1,0,0,calibration_square,0,3,3,14,1,0,0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.208333333,0.44259259,1,0,0,,0,4,4,9,1,-0.22,0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.447222215,-0.440740727,1,0,0,calibration_square,0,5,5,0,1,-0.44,-0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.436111097,-0.224074116,1,0,0,calibration_square,0,6,6,1,1,-0.44,-0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.439814815,0.006481489,1,0,0,calibration_square,0,7,7,22,1,0.44,0,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.216666681,0.211111104,1,0,0,calibration_square,0,8,8,18,1,0.22,0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.206481439,-0.441666709,1,0,0,,0,9,9,5,1,-0.22,-0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.663888878,-0.452777792,1,0,0,,0,10,10,25,1,-0.66,-0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.442592621,-0.224074116,1,0,0,calibration_square,0,11,11,21,1,0.44,-0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.655555584,-0.222222222,1,0,0,calibration_square,0,12,12,30,1,0.66,-0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.640740712,0,1,0,0,,0,13,13,31,1,0.66,0,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.441666638,-0.440740727,1,0,0,calibration_square,0,14,14,20,1,0.44,-0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.668518508,-0.003703718,1,0,0,calibration_square,0,15,15,27,1,-0.66,0,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.426851908,0.215740734,1,0,0,,0,16,16,23,1,0.44,0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.222222222,-0.015740748,1,0,0,,0,17,17,7,1,-0.22,0,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.017592607,-0.450925968,1,0,0,,0,18,18,10,1,0,-0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.659259231,0.220370363,1,0,0,calibration_square,0,19,19,32,1,0.66,0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.219444487,-0.00462963,1,0,0,calibration_square,0,20,20,17,1,0.22,0,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.437962956,0.000925912,1,0,0,calibration_square,0,21,21,2,1,-0.44,0,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.228703746,-0.438888903,1,0,0,calibration_square,0,22,22,15,1,0.22,-0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.220370328,-0.218518504,1,0,0,calibration_square,0,23,23,6,1,-0.22,-0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.224074116,0.446296295,1,0,0,calibration_square,0,24,24,19,1,0.22,0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.000925912,0.229629623,1,0,0,calibration_square,0,25,25,13,1,0,0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.208333333,0.220370363,1,0,0,,0,26,26,8,1,-0.22,0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.452777757,0.449999999,1,0,0,,0,27,27,4,1,-0.44,0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.434259238,0.222222222,1,0,0,calibration_square,0,28,28,3,1,-0.44,0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.664814843,0.445370369,1,0,0,calibration_square,0,29,29,33,1,0.66,0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.439814815,0.431481481,1,0,0,calibration_square,0,30,30,24,1,0.44,0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.217592593,-0.217592593,1,0,0,calibration_square,0,31,31,16,1,0.22,-0.22,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.65833339,-0.433333362,1,0,0,calibration_square,0,32,32,29,1,0.66,-0.44,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.006481453,-0.00462963,1,0,0,calibration_square,0,33,33,12,1,0,0,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,,,,,,,,,,,,,,1,001,2025-02-19_23h07.40.153,demo_eye_tracking2,2021.2.3,Win32,60.60606061,space,11.3817
