inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,tracking_resp.keys,tracking_resp.rt
space,6.276,-0.184259273,0.196296303,1,0,0,0.655555584,-0.212037051,1,0,0,calibration_square,0,0,0,30,1,0.66,-0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.665740826,0,1,0,0,calibration_square,0,1,1,31,1,0.66,0,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.44722225,0.445370369,1,0,0,calibration_square,0,2,2,24,1,0.44,0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.009259259,0.00462963,0,0,0,,0,3,3,12,1,0,0,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.009259259,0.00462963,0,0,0,,0,4,4,18,1,0.22,0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.383333312,0.347222222,0,0,0,,0,5,5,4,1,-0.44,0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.666666667,-0.437037079,1,0,0,calibration_square,0,6,6,29,1,0.66,-0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.446296268,-0.445370356,1,0,0,calibration_square,0,7,7,20,1,0.44,-0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.227777764,-0.439814815,1,0,0,calibration_square,0,8,8,5,1,-0.22,-0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.211111139,0.441666665,1,0,0,calibration_square,0,9,9,19,1,0.22,0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.662963019,0.224999993,1,0,0,calibration_square,0,10,10,32,1,0.66,0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.218518504,-0.219444487,1,0,0,calibration_square,0,11,11,16,1,0.22,-0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.003703718,0.214814804,1,0,0,calibration_square,0,12,12,13,1,0,0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.22129631,0.451851849,1,0,0,,0,13,13,9,1,-0.22,0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.44722225,-0.22592594,1,0,0,calibration_square,0,14,14,21,1,0.44,-0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.003703718,0.439814815,1,0,0,calibration_square,0,15,15,14,1,0,0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.660185213,0.446296295,1,0,0,calibration_square,0,16,16,33,1,0.66,0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.227777764,-0.006481489,1,0,0,calibration_square,0,17,17,17,1,0.22,0,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.440740727,-0.438888903,1,0,0,calibration_square,0,18,18,0,1,-0.44,-0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.431481467,-0.218518504,1,0,0,calibration_square,0,19,19,1,1,-0.44,-0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.224074046,0.216666663,1,0,0,calibration_square,0,20,20,8,1,-0.22,0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.001851824,-0.214814857,1,0,0,calibration_square,0,21,21,11,1,0,-0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.668518508,-0.439814815,1,0,0,calibration_square,0,22,22,25,1,-0.66,-0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.440740797,0.216666663,1,0,0,calibration_square,0,23,23,23,1,0.44,0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.654629619,-0.000925947,1,0,0,calibration_square,0,24,24,27,1,-0.66,0,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.220370399,-0.439814815,1,0,0,calibration_square,0,25,25,15,1,0.22,-0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.436111097,0.218518522,1,0,0,calibration_square,0,26,26,3,1,-0.44,0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.220370328,-0.00462963,1,0,0,calibration_square,0,27,27,7,1,-0.22,0,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.00462963,-0.438888903,1,0,0,calibration_square,0,28,28,10,1,0,-0.44,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.443518497,-0.001851859,1,0,0,calibration_square,0,29,29,2,1,-0.44,0,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.662962966,0.212037034,1,0,0,calibration_square,0,30,30,28,1,-0.66,0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.218518504,-0.222222222,1,0,0,calibration_square,0,31,31,6,1,-0.22,-0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,0.440740797,0.000925912,1,0,0,calibration_square,0,32,32,22,1,0.44,0,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,-0.654629619,-0.219444487,1,0,0,calibration_square,0,33,33,26,1,-0.66,-0.22,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,,
,,,,,,,,,,,,,,,,,,,,3,001,2025-01-07_18h56.32.136,demo_eye_tracking2,2021.2.3,Win32,60.60606061,space,33.9197
