inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.8439,0.014826389,-0.108398438,1,0,0,-0.649765625,-0.203867187,1,0,0,0,0,0,26,1,-0.66,-0.22,,001,2025-01-28_19h16.37.970,demo_eye_tracking2,2021.2.3,MacIntel,59.88023952
,,,,,,,-0.310693575,0.5,0,0,0,0,1,1,18,1,0.22,0.22,,001,2025-01-28_19h16.37.970,demo_eye_tracking2,2021.2.3,MacIntel,59.88023952
